iteration,cost_through_southbound,cost_left_turn_northbound,cost_follower_southbound,cost_follower_left_turn,total_cost
1,400445.7608003856,153417.6244850649,403825.36697162135,141726.8448249032,1099415.597081975
2,209197.73794886025,135930.45913230017,213247.88225555615,175353.70585143662,733729.7851881532
3,161088.964638848,122716.20424537703,163052.7797280383,132459.03525042286,579316.9838626862
4,149075.8627149551,121892.53340770403,150549.0988249746,121411.42619374693,542928.9211413807
5,146066.67228539655,110814.81592570446,147424.0408859222,117675.62800269765,521981.15709972085
6,145306.2659282128,106616.70446027743,146637.95448796073,116064.73766601413,514625.662542465
7,145109.4516269511,114276.07891176887,146437.51005340426,114590.44888737917,520413.48947950336
8,145055.18933112884,124977.31722927686,146385.770951122,113884.65715229482,530302.9346638225
9,145037.90982790515,137663.57170776528,146370.88474349875,114934.51355319716,544006.8798323664
10,145030.88576960278,149493.85691438115,146365.9865975519,118826.79903646787,559717.5283180038
11,145027.16656029905,159220.48655185616,146363.9048336805,125083.44594426517,575695.0038901009
12,145024.8132979773,163952.69102341842,146362.72797597628,132722.50943901014,588062.7417363821
13,145023.19349292322,163350.89484060206,146361.91220649373,140898.1259702185,595634.1265102376
14,145022.04145290251,157290.44101997447,146361.2833887981,144673.51050829655,593347.2763699717
15,145021.2125027169,147967.78194975283,146360.77449159385,143127.6787849577,582477.4477290213
16,145020.61370852112,138274.62264803008,146360.35324447064,144272.9805076464,573928.5701086682
17,145020.18065952402,131059.0704864013,146360.00061880634,144800.5634747525,567239.8152394842
18,145019.8673933705,126645.36441672189,146359.70365662518,144975.32837407634,563000.2638407939
19,145019.6407896026,123980.64596512934,146359.4527141843,144609.2698367751,559969.0093056913
20,145019.47689880643,121620.27351155481,146359.24022733845,143378.51208545832,556377.502723158
21,145019.35838665342,119762.19727828089,146359.06007628984,141370.13940812947,552510.7551493536
22,145019.27270512813,118165.84898582718,146358.9072174122,138708.61549520376,548252.6444035713
23,145019.2107718155,116810.72704946816,146358.7774471938,135547.93605188813,543736.6513203656
24,145019.1660138723,115561.87678364426,146358.6672382028,132038.9769473375,538978.6869830568
25,145019.13367547683,114552.37924162569,146358.57361777133,128496.81986483007,534426.9063997039
26,145019.11031676887,113798.20705549394,146358.49407402286,125119.9042403893,530295.7156866749
27,145019.09344912673,113314.22075308149,146358.42648076723,122241.82406043075,526933.5647434061
28,145019.08127211887,113075.23618594193,146358.36903623948,119742.50254121548,524195.18903551577
29,145019.07248442055,113064.21702109708,146358.3202123829,117703.23594734263,522144.84566524316
30,145019.0661452087,113251.60683280783,146358.27871255475,116080.39967717763,520709.3513677489
31,145019.0615743978,113652.13560716438,146358.24343603203,114752.61809904242,519782.0587166366
32,145019.05828045917,114331.5241582471,146358.21344812523,113682.86272153941,519391.65860837087
33,145019.05590820592,114416.14914571596,146358.1879549834,112780.49628035647,518573.8892892618
34,145019.05420101478,114457.51869270283,146358.16628213515,112027.40735875792,517862.14653461066
35,145019.0529735208,114449.78575320006,146358.1478565651,111393.1682373465,517220.1548206325
36,145019.0520918594,114488.13890366424,146358.13219135223,110851.13163566907,516716.45482254494
37,145019.05145938363,114525.50623877606,146358.11887268757,110387.90292502419,516290.57949587144
38,145019.05100633876,114576.2537164112,146358.10754888365,109997.3416991987,515950.75397083233
39,145019.05068239674,114621.0264598218,146358.09792100653,109641.70110338059,515639.8761666057
40,145019.05045126128,114617.44338855841,146358.08973495962,109318.20513074941,515312.7887055287
41,145019.05028676844,114562.50764217845,146358.08277474422,108986.90552861865,514926.5462323098
42,145019.0501700687,114456.6614738735,146358.07685673822,108662.40713536808,514496.19563604845
43,145019.0500875914,114286.70063769614,146358.07182484987,108321.79526514196,513985.6178152794
44,145019.05002957425,114072.68595915507,146358.06754636695,107966.10192517178,513415.9054602681
45,145019.04998900087,113825.20057437367,146358.06390845944,107579.60399504293,512781.9184668769
46,145019.04996083432,113549.5022594056,146358.06081520743,107163.01835459674,512089.6313900441
47,145019.04994146357,113264.01918958737,146358.0581850559,106731.62760905734,511372.7549251642
48,145019.0499283035,112983.4180696067,146358.05594865957,106275.7862019341,510636.31014850386
49,145019.04991950758,112721.16132551926,146358.054047066,105810.05687476313,509908.3221668559
50,145019.0499137594,112486.65154083559,146358.0524301474,105339.79826347287,509203.55214821524
51,145019.04991012334,112284.70401561722,146358.0510552858,104869.95060925651,508531.75559028285
52,145019.04990793663,112120.53649303823,146358.0498862386,104408.39312809303,507906.02941530646
53,145019.0499067316,111997.4208756055,146358.04889219406,103948.60077099736,507323.12044552853
54,145019.04990618012,111919.3326960656,146358.04804695374,103490.7797497311,506787.2103989306
55,145019.04990605332,111876.11867543047,146358.04732824268,103021.07072533302,506274.28663505946
56,145019.04990619287,111861.03180712549,146358.0467171155,102504.15894746958,505742.28737790347
57,145019.0499064903,111866.89963520544,146358.04619746798,101886.33570901016,505130.33144817385
58,145019.04990687262,111885.02271763729,146358.0457556084,101035.68939062176,504297.80777074
59,145019.04990729116,111908.70789899948,146358.0453798832,99870.95863869898,503156.7618248728
60,145019.0499077147,111932.81785459297,146358.04506038697,102069.70396237265,505379.61678506725
61,145019.04990812374,111954.21803895416,146358.04478873167,98520.76895176066,501852.08168757026
62,145019.04990850692,111971.4370109141,146358.04455773745,97135.39732392997,500483.92880108836
63,145019.04990885817,111984.14644961887,146358.0443613194,96232.14049775565,499593.3812175521
64,145019.04990917543,111991.39976908016,146358.0441943066,95517.13852028719,498885.63239284937
65,145019.04990945858,111994.89248186706,146358.04405229975,94917.33451561765,498289.32095924305
66,145019.04990970893,111995.53620618793,146358.0439315496,94423.74799284649,497796.37804029294
67,145019.04990992893,111993.96484388024,146358.04382887462,94026.92911573673,497397.98769842053
68,145019.04991012093,111990.95026479634,146358.04374156796,93716.35050426566,497084.3944207509
69,145019.04991028784,111987.16856961619,146358.04366733113,93493.34362903076,496857.6057762659
70,145019.04991043243,111983.20938430342,146358.0436042075,93349.9873580418,496710.2902569851
71,145019.04991055725,111979.53178390776,146358.04355053202,93277.2312046684,496633.85644966544
72,145019.04991066485,111976.47053676198,146358.04350489192,93257.93420666119,496611.4981589799
73,145019.04991075725,111974.33255693341,146358.04346608208,93278.20664640323,496629.632580176
74,145019.0499108366,111973.19343775157,146358.04343308287,93318.84914225212,496669.13592392317
75,145019.0499109046,111973.10812429746,146358.0434050237,93369.12924096533,496719.33068119106
76,145019.0499109628,111974.0655197985,146358.04338116208,93425.09897557563,496776.257787499
77,145019.04991101244,111976.0010812802,146358.04336087432,93476.6962143747,496829.79056754167
78,145019.049911055,111978.81542806451,146358.04334362433,93525.80039694608,496881.7090796899
79,145019.04991109128,111982.39009623928,146358.0433289532,93569.94668399022,496929.430020274
80,145019.04991112216,111986.5962217887,146358.04331648187,93605.11109648607,496968.8005458788
81,145019.0499111486,111991.49511241612,146358.04330587585,93634.63761103249,497003.225940473
82,145019.04991117108,111996.76058325228,146358.04329685695,93659.81944775516,497033.6732390355
83,145019.04991119023,112002.27204594057,146358.0432891865,93680.93145349919,497060.2966998165
84,145019.04991120665,112007.93164286911,146358.04328266496,93698.53214130724,497083.55697804794
85,145019.0499112205,112013.66326170125,146358.04327711964,93710.6787835447,497101.43523358606
86,145019.0499112324,112019.4100582042,146358.04327240575,93720.3373239549,497116.8405657973
87,145019.04991124244,112025.13242307339,146358.04326839698,93728.04941019663,497130.27501290943
88,145019.04991125103,112030.80425094538,146358.04326498782,93734.24317150799,497142.14059869223
89,145019.04991125828,112036.40891611092,146358.0432620865,93739.53757445939,497153.0396639151
90,145019.0499112645,112041.93331296887,146358.04325962104,93744.33666046422,497163.36314431863
91,145019.04991126974,112047.37889011783,146358.0432575241,93748.61781779831,497173.08987671
92,145019.04991127425,112051.92727764709,146358.0432557444,93752.52948144596,497181.5499261117
93,145019.04991127815,112056.35664898386,146358.04325422947,93756.18433717212,497189.63415166363
94,145019.04991128138,112060.97210110744,146358.04325294076,93758.1794544936,497196.2447198231
95,145019.0499112841,112065.5251139513,146358.043251845,93759.86722071,497202.4854977904
96,145019.04991128648,112069.78473462825,146358.04325091298,93761.29407040776,497208.17196723545
97,145019.04991128852,112073.58518518254,146358.04325012068,93762.48859889426,497213.16694548604
98,145019.0499112902,112076.83196787251,146358.0432494465,93763.47684197182,497217.401970581
99,145019.04991129163,112079.49301132988,146358.0432488729,93764.28677070132,497220.87294219574
100,145019.04991129282,112081.58395977237,146358.04324838586,93764.94808420751,497223.6252036586
