iteration,total_cost,max_delta_x,accepted_alpha
1,956137.5560193821,0.0,0.5
2,908501.5033502841,3.5252733561066716,0.5
3,892077.8254512771,2.0170823317475217,0.5
4,880753.1519926359,1.858221991585137,0.5
5,871557.6217718695,1.7648602762100292,0.5
6,863307.2514630819,1.678539356281664,0.5
7,856231.6403078567,1.5752328482948714,0.5
8,850029.2996284439,1.4506553463043015,0.5
9,844801.2418630887,1.3116990632323302,0.5
10,840382.8172013202,1.1707374274855784,0.5
11,836702.4964728118,1.044348242518125,0.5
12,833583.8432807871,0.9431249374327005,0.5
13,830899.8000090362,0.8692542556614179,0.5
14,828554.0934213019,0.8156199321423144,0.5
15,826484.4692581041,0.7741806834354465,0.5
16,824637.475368617,0.7397596231836583,0.5
17,822978.2112016937,0.7093690383534514,0.5
18,821469.2120635394,0.6818847947265909,0.5
19,820102.0393536508,0.6562517457767346,0.5
20,818849.0514797277,0.6322161693031806,0.5
21,817704.1476792688,0.6094454527777249,0.5
22,816651.8057311216,0.5880830983117128,0.5
23,815686.8313585266,0.568331212317283,0.5
24,814794.4449366392,0.5498333166529157,0.5
25,813972.9776076495,0.5334590754753075,0.5
26,813205.3881066344,0.5185687982901092,0.5
27,812492.7886003767,0.505730345192605,0.5
28,811826.0690784644,0.4940736955650303,0.5
29,811192.896007041,0.4827166563557533,0.5
30,810595.3895460458,0.4713381456796347,0.5
31,810024.9731773719,0.4615017018830375,0.5
32,809474.598697663,0.4528367310004702,0.5
33,808940.8383319007,0.4449893145473373,0.5
34,808421.1818574185,0.43739822546392176,0.5
35,807917.2923590012,0.42974509785545323,0.5
36,807429.4033774395,0.42233199543763333,0.5
37,806954.3056221404,0.4160699077728365,0.5
38,806490.5145397808,0.41071216991305864,0.5
39,806044.6980631617,0.4051036513306339,0.5
40,805621.1729791085,0.39848034574953617,0.5
41,805219.5256403614,0.3907687140105596,0.5
42,804836.4452859783,0.3821516686281971,0.5
43,804473.2984606698,0.3728609103990279,0.5
44,804130.7510219752,0.3631374793229822,0.5
45,803810.6671353861,0.353082826479101,0.5
46,803507.2741369125,0.3429062032038995,0.5
47,803219.6910816272,0.33249252852939737,0.5
48,802946.1738134879,0.32193223882115035,0.5
49,802688.8424532213,0.31125130375877263,0.5
50,802450.1612990102,0.3004250744416938,0.5
51,802226.962256632,0.2898427125658488,0.5
52,802019.4619498976,0.2791938523823038,0.5
53,801825.9332684531,0.2705614526878347,0.5
54,801645.5409166581,0.2656828690923709,0.5
55,801477.1699323182,0.25993630908294674,0.5
56,801318.0713475079,0.25605741343672606,0.5
57,801170.1033737872,0.24854677374521814,0.5
58,801031.5968781686,0.24420832155476327,0.5
59,800903.4236190193,0.23644791478793842,0.5
60,800784.9165965974,0.2311690050343745,0.5
61,800675.6669439606,0.22348244010719845,0.5
62,800574.8340082639,0.2177526833335418,0.5
63,800481.5672415914,0.2100544591342395,0.5
64,800394.9121845986,0.2043898074140448,0.5
65,800314.5768082134,0.19626566515644475,0.5
66,800239.2997879619,0.19113434234010074,0.5
67,800169.5471004316,0.18267488919972544,0.5
68,800103.6476253166,0.1776521286283604,0.5
69,800042.5619982115,0.17005133834187722,0.5
70,799986.546887898,0.1631797625290976,0.5
71,799934.1310080132,0.15827982522656792,0.5
72,799885.8623882417,0.15053507855985235,0.5
73,799840.5679641316,0.14479019822695652,0.5
74,799798.1295548307,0.14002445301898872,0.5
75,799759.0241063469,0.1329148129799186,0.5
76,799722.4406704488,0.12720136690982495,0.5
77,799687.8597199728,0.1233776826144887,0.5
78,799655.8343019389,0.1173873291505587,0.5
79,799626.197748086,0.11134651243831138,0.5
80,799598.398190287,0.106865061481225,0.5
81,799572.313167421,0.10348636101481154,0.5
82,799548.4768399927,0.09833758479025098,0.5
83,799526.734578525,0.09303358553583854,0.5
84,799506.6553101696,0.08863743468302306,0.5
85,799487.8540358504,0.0855880081994982,0.5
86,799470.3742175967,0.08249464074836697,0.5
87,799454.3907606909,0.07828666118059975,0.5
88,799439.8091157125,0.07399463510991151,0.5
89,799426.4287709731,0.07014557489844811,0.5
90,799414.0300913115,0.06707499021186174,0.5
91,799402.4104566403,0.06476508084681307,0.5
92,799391.5554562453,0.06257132396236435,0.5
93,799381.5759986717,0.05960919837388123,0.5
94,799372.456147297,0.05642121248256139,0.5
95,799364.1223260151,0.05337770667584924,0.5
96,799356.4786881722,0.05058970799983449,0.5
97,799349.4220111457,0.0481511075301288,0.5
98,799342.8587776403,0.04606313369391221,0.5
99,799336.7005646381,0.044330760034257906,0.5
100,799330.8772641511,0.042938612536465054,0.5
101,799325.4127307535,0.04134546649065846,0.5
102,799320.3187641059,0.03946913203160643,0.5
103,799315.5561461425,0.037481521314789865,0.5
104,799311.0307592244,0.03551273496363153,0.5
105,799306.5702247295,0.03361985373333341,0.5
106,799302.0293866869,0.031834237760570754,0.5
107,799298.1245873269,0.030169926399078048,0.5
108,799294.9553837415,0.028655292988954924,0.5
109,799292.087715606,0.027284101085936922,0.5
110,799289.461589109,0.026043459099646702,0.5
111,799287.0350592022,0.02492685091501127,0.5
112,799284.7771005495,0.023926756248307656,0.5
113,799282.6629296759,0.0230414604119466,0.5
114,799280.6718704212,0.02226078092702289,0.5
115,799278.7886623313,0.021572995632415937,0.5
116,799277.0177242826,0.020828666871590896,0.5
117,799275.3634834122,0.0200038358326664,0.5
118,799273.8253028785,0.01913126236409972,0.5
119,799272.3994082962,0.018238613109070392,0.5
120,799271.0801055849,0.01734890099991707,0.5
121,799269.8606793834,0.016480529404479825,0.5
122,799268.7340067452,0.015638054939916483,0.5
123,799267.6929548527,0.014827842078718722,0.5
124,799266.7306248073,0.014053564888551844,0.5
125,799265.8404912364,0.013318556506609937,0.5
126,799265.0164724443,0.012623751536970438,0.5
127,799264.2529543478,0.011965789722616504,0.5
128,799263.5447211555,0.011344426806375821,0.5
129,799262.8870454583,0.010758109302721251,0.5
130,799262.2756407293,0.01020518541739117,0.5
131,799261.7066421009,0.009683700012628114,0.5
132,799261.1765552958,0.009191772383082962,0.5
133,799260.6822104491,0.008727629779495136,0.5
134,799260.2206019273,0.0082913577467564,0.5
135,799259.7889953391,0.007881901867718918,0.5
136,799259.3849619565,0.0074971091702028935,0.5
137,799259.0063180665,0.007135094544381853,0.5
138,799258.6511024337,0.00679405039276045,0.5
139,799258.3175526595,0.006472281232662632,0.5
140,799258.004040717,0.0061687359561398755,0.5
141,799257.7090899544,0.005882155493166314,0.5
142,799257.4313561826,0.005611383680707853,0.5
143,799257.1696131083,0.005355360330146201,0.5
144,799256.9227399144,0.005113112196784095,0.5
145,799256.6897106761,0.004883744412044467,0.5
146,799256.4695845817,0.004666433216134953,0.5
147,799256.2614963112,0.0044604251283240194,0.5
148,799256.0646461556,0.004265043169131081,0.5
149,799255.8782986831,0.0040796384892070586,0.5
150,799255.7017768978,0.0039036067489014326,0.5
151,799255.5344562196,0.0037363866717362243,0.5
152,799255.3757604295,0.0035774565972920614,0.5
153,799255.2251561935,0.0034263311484930884,0.5
154,799255.082149957,0.003282558660636411,0.5
155,799254.9462841795,0.0031457179528206897,0.5
156,799254.8171341394,0.0030154165631564563,0.5
157,799254.6943050029,0.002891288314251658,0.5
158,799254.5774297427,0.002773199960044686,0.5
159,799254.4661492303,0.0026606296073312906,0.5
160,799254.3601503733,0.002553248575417115,0.5
161,799254.2591434487,0.0024507779753333955,0.5
162,799254.1628539528,0.0023529566776125024,0.5
163,799254.071024179,0.002259539657607255,0.5
164,799253.9834125153,0.0021702970242733206,0.5
165,799253.8997924047,0.002085012980580701,0.5
166,799253.8199513914,0.002003484568601831,0.5
167,799253.7436904041,0.001925520904497083,0.5
168,799253.6708224518,0.0018509426127032876,0.5
169,799253.601171954,0.0017795805911945556,0.5
170,799253.534574145,0.0017112755997062844,0.5
171,799253.4708739219,0.0016458774776493448,0.5
172,799253.4099255949,0.0015832447446910399,0.5
173,799253.3515918882,0.0015232437736864839,0.5
174,799253.2957434467,0.0014657483993653388,0.5
175,799253.2422585288,0.0014106394652789343,0.5
176,799253.1910223602,0.0013578044014985863,0.5
177,799253.1419265921,0.0013071367897145416,0.5
178,799253.0948690044,0.0012585357205322268,0.5
179,799253.0497529272,0.0012119060206019785,0.5
180,799253.0064871366,0.001167157369642226,0.5
181,799252.9649853244,0.0011242042797309682,0.5
182,799252.9251659162,0.0010829656604490927,0.5
183,799252.886951695,0.0010433646825547278,0.5
184,799252.8502694358,0.001005328423762769,0.5
185,799252.8150498708,0.0009687877664682879,
